primary_title,premiered,title_id,nudity,violence,profanity,alcohol,frightening
"The Imaginarium of Doctor Parnassus",2009,tt1054606,Mild,Moderate,Mild,Mild,Moderate
"Transformers: Revenge of the Fallen",2009,tt1055369,Moderate,Moderate,Moderate,Moderate,Moderate
Invictus,2009,tt1057500,None,Mild,Moderate,Mild,Mild
"The Invention of Lying",2009,tt1058017,Mild,None,Mild,Mild,None
"According to Greta",2009,tt1059925,Mild,,Mild,None,Moderate
"A Christmas Carol",2009,tt1067106,None,Mild,Mild,Mild,Severe
"Veronika Decides to Die",2009,tt1068678,Mild,None,Mild,Moderate,Mild
Ink,2009,tt1071804,None,Mild,Moderate,Mild,Mild
"The Descent: Part 2",2009,tt1073105,None,Severe,Moderate,None,Severe
"The Misfortunates",2009,tt1075110,Moderate,,,Moderate,Severe
"Race to Witch Mountain",2009,tt1075417,None,Mild,None,None,Mild
"Shinjuku Incident",2009,tt1075419,Mild,Severe,Mild,Moderate,Severe
"My Sister's Keeper",2009,tt1078588,Mild,Mild,Mild,Mild,Moderate
"Night at the Museum: Battle of the Smithsonian",2009,tt1078912,None,Mild,Mild,None,Mild
"Couples Retreat",2009,tt1078940,Mild,None,Mild,Mild,None
"Ice Age: Dawn of the Dinosaurs",2009,tt1080016,Mild,Mild,None,None,Mild
Fighting,2009,tt1082601,Mild,Moderate,Moderate,Mild,Mild
"Fired Up!",2009,tt1083456,Mild,Mild,Mild,Mild,
Wanted,2009,tt1084972,Mild,Severe,Mild,Severe,Severe
"The Hole",2009,tt1085779,None,Mild,Moderate,Mild,Moderate
Adventureland,2009,tt1091722,Mild,Mild,Moderate,Moderate,None
"The Goods: Live Hard, Sell Hard",2009,tt1092633,Moderate,Mild,Severe,Moderate,None
"Confessions of a Shopaholic",2009,tt1093908,None,None,Mild,Mild,None
"New in Town",2009,tt1095174,Mild,Mild,Moderate,Mild,None
"Bad Lieutenant: Port of Call New Orleans",2009,tt1095217,Moderate,Moderate,Severe,Severe,Moderate
"Next Day Air",2009,tt1097013,Mild,Severe,Severe,Severe,Moderate
"Dragonball Evolution",2009,tt1098327,Mild,Moderate,Mild,Mild,Moderate
"The Girlfriend Experience",2009,tt1103982,Mild,None,Moderate,Moderate,None
"The Maiden Heist",2009,tt1107860,Mild,Mild,Mild,None,None
"The Taking of Pelham 123",2009,tt1111422,None,Severe,Severe,None,Moderate
"The Code",2009,tt1112782,Moderate,Moderate,Moderate,Moderate,None
"Hannah Montana: The Movie",2009,tt1114677,Mild,Mild,Mild,None,None
"Paul Blart: Mall Cop",2009,tt1114740,Mild,Mild,Mild,Mild,Mild
"The Killing Room",2009,tt1119191,Moderate,Severe,Mild,Mild,Moderate
"The Hangover",2009,tt1119646,Moderate,Mild,Severe,Moderate,Mild
"Crank: High Voltage",2009,tt1121931,Severe,Severe,Severe,Moderate,Severe
"Mother and Child",2009,tt1121977,Moderate,Mild,Mild,Mild,Moderate
"Echelon Conspiracy",2009,tt1124039,Mild,Mild,Severe,Mild,Moderate
"City of Life and Death",2009,tt1124052,Severe,Severe,Mild,Moderate,Severe
"Drag Me to Hell",2009,tt1127180,Mild,Severe,Mild,Mild,Severe
"Sin Nombre",2009,tt1127715,Moderate,Severe,Moderate,Moderate,Moderate
"Taking Woodstock",2009,tt1127896,Moderate,Mild,Severe,Moderate,Mild
Amelia,2009,tt1129445,Mild,Moderate,Mild,Mild,Moderate
"The Informant!",2009,tt1130080,None,None,Moderate,Mild,None
"The Boat That Rocked",2009,tt1131729,Moderate,None,Moderate,Moderate,Mild
"Jennifer's Body",2009,tt1131734,Moderate,Severe,Severe,Mild,Severe
"The Girl with the Dragon Tattoo",2009,tt1132620,Severe,Severe,Moderate,Mild,Severe
"The Private Lives of Pippa Lee",2009,tt1134629,Mild,Moderate,Mild,Mild,Mild
"Survival of the Dead",2009,tt1134854,Mild,Severe,Moderate,Mild,Moderate
"The Limits of Control",2009,tt1135092,Moderate,Mild,Moderate,Mild,None
Duplicity,2009,tt1135487,Mild,None,Mild,Mild,None
"Julie & Julia",2009,tt1135503,Mild,None,Mild,Mild,None
"The Slammin' Salmon",2009,tt1135525,Mild,Mild,Moderate,Mild,None
"District 9",2009,tt1136608,Mild,Severe,Severe,Mild,Severe
"The Unborn",2009,tt1139668,Mild,Moderate,Moderate,Mild,Moderate
"Post Grad",2009,tt1142433,Mild,Moderate,Mild,None,None
"Madea Goes to Jail",2009,tt1142800,Moderate,Moderate,Moderate,Moderate,Mild
"The Ugly Truth",2009,tt1142988,Moderate,None,Moderate,Mild,None
"The Final Destination",2009,tt1144884,Moderate,Severe,Severe,Moderate,Severe
Orphan,2009,tt1148204,Moderate,Severe,Moderate,Mild,Severe
Micmacs,2009,tt1149361,Mild,Moderate,None,None,Mild
"The White Ribbon",2009,tt1149362,Moderate,Moderate,Mild,Mild,Moderate
"Leaves of Grass",2009,tt1151359,Mild,Moderate,Severe,Severe,Moderate
"Miss March",2009,tt1151922,Moderate,Mild,Severe,Mild,None
"Public Enemies",2009,tt1152836,Mild,Moderate,Mild,Mild,Moderate
"Dance Flick",2009,tt1153706,Moderate,Mild,Moderate,Moderate,Mild
"I Love You, Man",2009,tt1155056,Mild,None,Severe,Moderate,None
Zombieland,2009,tt1156398,Mild,Severe,Severe,Moderate,Moderate
"12 Rounds",2009,tt1160368,Mild,Moderate,Moderate,Mild,Moderate
"Gentlemen Broncos",2009,tt1161418,Mild,Mild,Mild,None,None
"OSS 117: Lost in Rio",2009,tt1167660,Moderate,Mild,Mild,Mild,Mild
"The Breath",2009,tt1171701,,,,,
"Whip It",2009,tt1172233,Mild,Mild,Moderate,Moderate,Mild
"The House of the Devil",2009,tt1172994,None,Severe,Mild,Mild,Severe
"City Island",2009,tt1174730,Mild,Mild,Mild,Mild,Mild
"An Education",2009,tt1174732,Mild,None,Mild,Mild,None
"Away We Go",2009,tt1176740,Moderate,Mild,Severe,Mild,Mild
"Whatever Works",2009,tt1178663,Moderate,None,Mild,Mild,Mild
"Chéri",2009,tt1179258,Mild,None,Mild,Mild,None
Timer,2009,tt1179794,Mild,Mild,Mild,Mild,
"My Bloody Valentine",2009,tt1179891,Severe,Severe,Severe,Moderate,Severe
Moon,2009,tt1182345,Mild,Moderate,Moderate,None,Mild
Ninja,2009,tt1182921,None,Severe,Mild,Mild,Moderate
"Beyond a Reasonable Doubt",2009,tt1183251,Mild,Mild,Moderate,Mild,Mild
"The Horde",2009,tt1183276,Mild,Severe,Severe,Mild,Severe
Cracks,2009,tt1183665,Mild,Moderate,Mild,Mild,Moderate
"Stan Helsing",2009,tt1185266,Moderate,Mild,Moderate,Mild,Mild
Adam,2009,tt1185836,Mild,None,Mild,Mild,Mild
"Ninja Assassin",2009,tt1186367,None,Severe,Severe,Mild,Severe
Spread,2009,tt1186370,Severe,None,Severe,Moderate,None
Agora,2009,tt1186830,Mild,Moderate,Mild,None,Moderate
"3 Idiots",2009,tt1187043,Mild,Mild,Mild,Mild,Mild
Triangle,2009,tt1187064,None,Severe,Moderate,None,Severe
Pandorum,2009,tt1188729,Mild,Severe,Severe,None,Severe
2012,2009,tt1190080,Mild,Moderate,Moderate,Mild,Severe
"Black Dynamite",2009,tt1190536,Moderate,Moderate,Moderate,Mild,None
"Enter the Void",2009,tt1191111,Severe,Severe,Severe,Severe,Severe
"Up in the Air",2009,tt1193138,Mild,None,Moderate,Mild,None
Polytechnique,2009,tt1194238,None,Severe,Mild,Mild,Severe
"Get Low",2009,tt1194263,Mild,Mild,Mild,Mild,Mild
"Law Abiding Citizen",2009,tt1197624,Mild,Severe,Severe,Mild,Severe
"Observe and Report",2009,tt1197628,Severe,Moderate,Severe,Severe,Moderate
Obsessed,2009,tt1198138,Mild,Moderate,Mild,Mild,Moderate
"Funny People",2009,tt1201167,Moderate,Mild,Severe,Mild,Mild
"The Rebound",2009,tt1205535,Mild,None,Moderate,Moderate,None
"Brooklyn's Finest",2009,tt1210042,Severe,Severe,Severe,Severe,Severe
"Bitch Slap",2009,tt1212974,Moderate,Severe,Severe,Moderate,Moderate
"The Girl Who Played with Fire",2009,tt1216487,Moderate,Severe,Moderate,Moderate,Severe
Mother,2009,tt1216496,Moderate,Moderate,Moderate,Mild,Moderate
Triage,2009,tt1217070,Moderate,Severe,Severe,Moderate,Severe
"The Fourth Kind",2009,tt1220198,Mild,Moderate,Mild,None,Moderate
Heartless,2009,tt1220214,Mild,Severe,Moderate,Mild,Severe
Extract,2009,tt1225822,Mild,Mild,Moderate,Moderate,None
"I Am Love",2009,tt1226236,Moderate,None,None,Mild,Mild
"The Damned United",2009,tt1226271,None,Mild,Severe,Mild,None
"In the Loop",2009,tt1226774,Mild,None,Severe,Mild,None
"Jonas Brothers: The 3D Concert Experience",2009,tt1229827,None,None,None,None,None
"It's Complicated",2009,tt1230414,Mild,None,Mild,Mild,None
Billu,2009,tt1230448,Mild,None,,,None
"S. Darko",2009,tt1231277,Mild,Moderate,Moderate,Severe,Moderate
"Labor Pains",2009,tt1231287,Mild,,,Mild,
"Alvin and the Chipmunks: The Squeakquel",2009,tt1231580,Mild,Mild,Mild,Mild,Mild
"Capitalism: A Love Story",2009,tt1232207,None,None,Mild,Mild,Mild
"Fish Tank",2009,tt1232776,Moderate,Moderate,Severe,Moderate,Moderate
"Sorority Row",2009,tt1232783,Moderate,Severe,Severe,Moderate,Moderate
"My Son, My Son, What Have Ye Done",2009,tt1233219,,Moderate,Moderate,,
"Saw VI",2009,tt1233227,None,Severe,Severe,Mild,Severe
"The Butterfly Effect 3: Revelations",2009,tt1234541,Severe,Severe,Mild,Mild,Moderate
"The Men Who Stare at Goats",2009,tt1234548,Mild,Mild,Severe,Moderate,Mild
"Dorian Gray",2009,tt1235124,Severe,Severe,Mild,Moderate,Moderate
"A Prophet",2009,tt1235166,Severe,Severe,Moderate,Moderate,Moderate
"The Thaw",2009,tt1235448,Mild,Severe,Moderate,None,Moderate
Ondine,2009,tt1235796,Mild,Mild,Mild,Mild,Moderate
"Five Minutes of Heaven",2009,tt1238291,None,Moderate,Severe,Mild,Moderate
"Celda 211",2009,tt1242422,Mild,Severe,Severe,Mild,Severe
Nativity!,2009,tt1242447,None,None,None,None,None
"Looking for Eric",2009,tt1242545,Mild,Mild,Moderate,Mild,Moderate
"Soul Kitchen",2009,tt1244668,Moderate,Mild,Mild,Mild,None
"[Rec]²",2009,tt1245112,None,Severe,Severe,None,Severe
"District 13: Ultimatum",2009,tt1247640,Mild,Moderate,Moderate,Moderate,
Shrink,2009,tt1247692,Mild,Mild,Severe,Moderate,Mild
"Middle Men",2009,tt1251757,Moderate,Moderate,Moderate,Moderate,Severe
"Ajab Prem Ki Ghazab Kahani",2009,tt1252596,,,,,
Exam,2009,tt1258197,None,Mild,Moderate,None,Moderate
"The Twilight Saga: New Moon",2009,tt1259571,Mild,Moderate,Mild,Mild,Moderate
Gulaal,2009,tt1261047,Mild,Moderate,Mild,Mild,Moderate
"World's Greatest Dad",2009,tt1262981,Moderate,Moderate,Severe,Moderate,Moderate
"Crazy Heart",2009,tt1263670,Mild,Mild,Moderate,Moderate,None
"Little Nicholas",2009,tt1264904,Mild,Mild,Mild,Mild,None
"Nowhere Boy",2009,tt1266029,Moderate,Mild,Moderate,Moderate,Mild
Kaminey,2009,tt1274295,Mild,Moderate,Mild,Mild,Severe
"Love Aaj Kal",2009,tt1275863,Mild,Mild,Mild,Mild,None
"Dead Snow",2009,tt1278340,Mild,Severe,Moderate,Mild,Moderate
"The Joneses",2009,tt1285309,Mild,Mild,Moderate,Moderate,None
"Universal Soldier: Regeneration",2009,tt1288403,None,Severe,Moderate,Mild,Moderate
"Harry Brown",2009,tt1289406,Moderate,Severe,Severe,Severe,Severe
"Solitary Man",2009,tt1294213,Mild,Mild,,,
"The Boondock Saints II: All Saints Day",2009,tt1300851,Mild,Severe,Severe,Mild,Moderate
Defendor,2009,tt1303828,Mild,Moderate,Moderate,Moderate,Moderate
"The Secret in Their Eyes",2009,tt1305806,Severe,Severe,Severe,Moderate,Severe
"Halloween II",2009,tt1311067,Severe,Severe,Severe,Moderate,Severe
"The Cove",2009,tt1313104,None,Severe,Mild,Mild,Severe
"Did You Hear About the Morgans?",2009,tt1314228,Mild,Mild,Mild,Mild,Mild
"A Single Man",2009,tt1315981,Mild,Mild,Mild,Mild,Mild
"The Loved Ones",2009,tt1316536,Moderate,Severe,Mild,Moderate,Severe
"The Concert",2009,tt1320082,Mild,None,Moderate,Mild,None
"Wake Up Sid",2009,tt1324059,None,None,Mild,Mild,None
"Red Cliff II",2009,tt1326972,None,Moderate,None,None,Moderate
Dev.D,2009,tt1327035,Moderate,Mild,Severe,Severe,Moderate
"New York",2009,tt1328634,Mild,Severe,None,Mild,Severe
Dread,2009,tt1331307,Severe,Severe,Severe,Mild,Severe
"The Revenant",2009,tt1336006,Moderate,Moderate,Severe,Severe,Severe
Rampage,2009,tt1337057,None,Severe,Severe,Mild,Severe
"The Girl Who Kicked the Hornet's Nest",2009,tt1343097,Moderate,Severe,Moderate,Mild,Moderate
"I Saw the Sun",2009,tt1347521,,,,,
Chloe,2009,tt1352824,Severe,Mild,Mild,Mild,Mild
Ayan,2009,tt1355546,Moderate,Moderate,Mild,Severe,Mild
"About Elly",2009,tt1360860,None,Mild,None,None,Mild
Merantau,2009,tt1368116,Moderate,Severe,Moderate,Mild,Severe
"Recep Ivedik 2",2009,tt1373215,Mild,Mild,Severe,Mild,None
"The Disappearance of Alice Creed",2009,tt1379177,Moderate,Moderate,Severe,Mild,Moderate
Dogtooth,2009,tt1379182,Severe,Severe,Moderate,Mild,Severe
"I Can Do Bad All by Myself",2009,tt1385912,Mild,Moderate,Moderate,Moderate,Mild
"I Killed My Mother",2009,tt1424797,Moderate,Mild,Moderate,Moderate,Moderate
"Rocket Singh: Salesman of the Year",2009,tt1434447,Mild,None,None,Mild,Mild
Magadheera,2009,tt1447500,Mild,Moderate,None,None,Moderate
"The Human Centipede (First Sequence)",2009,tt1467304,Moderate,Severe,Severe,Moderate,Severe
"Summer Wars",2009,tt1474276,Mild,Mild,Mild,Mild,Mild
"This Is It",2009,tt1477715,None,Mild,Mild,Mild,Mild
Redline,2009,tt1483797,Moderate,Moderate,Severe,Moderate,Moderate
Lebanon,2009,tt1483831,Mild,Severe,,Mild,Severe
"Castaway on the Moon",2009,tt1499666,Mild,Mild,Mild,None,Mild
"Kolpaçino",2009,tt1523486,Mild,Moderate,Severe,Severe,Mild
Paa,2009,tt1532957,Mild,None,Mild,None,Mild
Vavien,2009,tt1558877,Mild,Mild,Mild,,
"Yahsi Bati",2009,tt1567448,Mild,Mild,Severe,Mild,None
Tangled,2010,tt0398286,None,Mild,None,Mild,Mild
Tekken,2010,tt0411951,Mild,Severe,Moderate,Mild,Moderate
"Dinner for Schmucks",2010,tt0427152,Moderate,Mild,Moderate,Mild,Mild
"The A-Team",2010,tt0429493,None,Moderate,Moderate,Mild,Mild
"Toy Story 3",2010,tt0435761,None,Mild,None,None,Moderate
"Scott Pilgrim vs. the World",2010,tt0446029,Mild,Mild,Mild,Mild,None
"The Crazies",2010,tt0455407,None,Severe,Moderate,Mild,Severe
"Piranha 3D",2010,tt0464154,Severe,Severe,Severe,Severe,Severe
"Prince of Persia: The Sands of Time",2010,tt0473075,None,Moderate,None,Mild,Moderate
Unstoppable,2010,tt0477080,None,Moderate,Moderate,None,Moderate
"The Losers",2010,tt0480255,Mild,Moderate,Moderate,Mild,Moderate
"Furry Vengeance",2010,tt0492389,Mild,Mild,Mild,Mild,Mild
"Ramona and Beezus",2010,tt0493949,None,Mild,None,None,Mild
"Love & Other Drugs",2010,tt0758752,Severe,Mild,Severe,Moderate,Mild
"The Illusionist",2010,tt0775489,None,None,None,Mild,Mild
"The Wolfman",2010,tt0780653,None,Severe,Mild,Mild,Moderate
13,2010,tt0798817,None,Severe,Moderate,Moderate,Moderate
"Clash of the Titans",2010,tt0800320,Mild,Moderate,Mild,None,Mild
"It's Kind of a Funny Story",2010,tt0804497,Mild,Mild,Mild,Mild,Mild
"Tooth Fairy",2010,tt0808510,None,Mild,Mild,None,None
"Percy Jackson & the Olympians: The Lightning Thief",2010,tt0814255,None,Moderate,Mild,Mild,Moderate
"She's Out of My League",2010,tt0815236,Mild,Mild,Severe,Mild,None
Flipped,2010,tt0817177,None,Mild,Mild,None,Mild
"Valentine's Day",2010,tt0817230,Mild,None,Mild,Mild,None
"The Town",2010,tt0840361,Moderate,Moderate,Severe,Moderate,Moderate
"The Kids Are All Right",2010,tt0842926,Severe,Mild,Moderate,Moderate,Mild
"My Soul to Take",2010,tt0872230,Mild,Severe,Severe,Mild,Severe
"Please Give",2010,tt0878835,Mild,,Mild,,
"Eat Pray Love",2010,tt0879870,Mild,None,Mild,Mild,None
"The Switch",2010,tt0889573,Mild,None,Mild,Mild,None
"Letters to Juliet",2010,tt0892318,None,None,Mild,Mild,None
"How to Train Your Dragon",2010,tt0892769,None,Mild,None,None,Mild
"Shrek Forever After",2010,tt0892791,Mild,Mild,Mild,Mild,Mild
"The Whistleblower",2010,tt0896872,Moderate,Severe,Moderate,Mild,Severe
Unthinkable,2010,tt0914863,None,Severe,Severe,Mild,Severe
"Harry Potter and the Deathly Hallows: Part 1",2010,tt0926084,Mild,Moderate,Mild,Mild,Moderate
"Rabbit Hole",2010,tt0935075,None,None,Mild,Mild,Moderate
"The Last Airbender",2010,tt0938283,None,Mild,None,None,Moderate
Salt,2010,tt0944835,Mild,Severe,Moderate,Mild,Moderate
"Black Swan",2010,tt0947798,Severe,Severe,Moderate,Moderate,Severe
"Green Zone",2010,tt0947810,None,Moderate,Severe,None,Moderate
"The Killer Inside Me",2010,tt0954947,Severe,Severe,Mild,Moderate,Severe
"Robin Hood",2010,tt0955308,Mild,Moderate,Mild,Mild,Moderate
"The Sorcerer's Apprentice",2010,tt0963966,None,Mild,None,None,Mild
"The Fighter",2010,tt0964517,Moderate,Moderate,Severe,Severe,Mild
"The Conspirator",2010,tt0968264,None,Moderate,Mild,Mild,Moderate
"Little Fockers",2010,tt0970866,Moderate,Mild,Moderate,Mild,Mild
"Fair Game",2010,tt0977855,None,Mild,Moderate,Mild,Mild
"Lottery Ticket",2010,tt0979434,Moderate,Mild,Moderate,Moderate,
"The Chronicles of Narnia: The Voyage of the Dawn Treader",2010,tt0980970,None,Moderate,None,None,Moderate
Machete,2010,tt0985694,Moderate,Severe,Severe,Mild,Moderate
"Dear John",2010,tt0989757,Mild,Moderate,Mild,None,Mild
"The Experiment",2010,tt0997152,Severe,Severe,Severe,Mild,Severe
Megamind,2010,tt1001526,None,Mild,None,None,Mild
"Knight and Day",2010,tt1013743,Mild,Moderate,Mild,Mild,Mild
